({'epochs': 2, 'lot_size': 32, 'lr': 0.001, 'l2_clipping_bound': 0.1, 'z': 1.0, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}, 1.0386290410998213, 0.7538940809968847)
({'epochs': 2, 'lot_size': 128, 'lr': 0.001, 'l2_clipping_bound': 0.1, 'z': 1.0, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}, 1.5337122399581529, 0.7538940809968847)
({'epochs': 4, 'lot_size': 32, 'lr': 0.001, 'l2_clipping_bound': 0.1, 'z': 1.0, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}, 1.1178474447495772, 0.7725856697819314)
({'epochs': 4, 'lot_size': 128, 'lr': 0.001, 'l2_clipping_bound': 0.1, 'z': 1.0, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}, 1.788209833648863, 0.7538940809968847)
({'epochs': 2, 'lot_size': 32, 'lr': 0.01, 'l2_clipping_bound': 0.1, 'z': 1.0, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}, 1.0386290410998213, 0.8274143302180685)
({'epochs': 2, 'lot_size': 128, 'lr': 0.01, 'l2_clipping_bound': 0.1, 'z': 1.0, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}, 1.5337122399581529, 0.8261682242990654)
({'epochs': 4, 'lot_size': 32, 'lr': 0.01, 'l2_clipping_bound': 0.1, 'z': 1.0, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}, 1.1178474447495772, 0.8317757009345794)
({'epochs': 4, 'lot_size': 128, 'lr': 0.01, 'l2_clipping_bound': 0.1, 'z': 1.0, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}, 1.788209833648863, 0.8336448598130841)
({'epochs': 2, 'lot_size': 32, 'lr': 0.001, 'l2_clipping_bound': 2.0, 'z': 1.0, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}, 1.0386290410998213, 0.8031152647975078)
({'epochs': 2, 'lot_size': 128, 'lr': 0.001, 'l2_clipping_bound': 2.0, 'z': 1.0, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}, 1.5337122399581529, 0.7813084112149533)
({'epochs': 4, 'lot_size': 32, 'lr': 0.001, 'l2_clipping_bound': 2.0, 'z': 1.0, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}, 1.1178474447495772, 0.8218068535825546)
