({'epochs': 3, 'lot_size': 78, 'lr': 0.0015151431215196113, 'l2_clipping_bound': 1.7354763139632972, 'z': 2.655940687147833, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}, 0.33619531327198415, 0.7738317757009345)
({'epochs': 3, 'lot_size': 67, 'lr': 0.009367496479523164, 'l2_clipping_bound': 0.3412037030846809, 'z': 7.654709893821869, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}, 0.10342860535196835, 0.778816199376947)
({'epochs': 3, 'lot_size': 66, 'lr': 0.006045883511402104, 'l2_clipping_bound': 1.6067529150634434, 'z': 3.9884768522216176, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}, 0.2001120692708926, 0.8174454828660436)
({'epochs': 3, 'lot_size': 63, 'lr': 0.0097181822907163, 'l2_clipping_bound': 0.8707818593404744, 'z': 4.696601331237257, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}, 0.1649255821519125, 0.8249221183800624)
({'epochs': 3, 'lot_size': 45, 'lr': 0.0016161051239312746, 'l2_clipping_bound': 1.3988711940230605, 'z': 2.7606929241034663, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}, 0.24309849458744875, 0.7975077881619937)
({'epochs': 3, 'lot_size': 55, 'lr': 0.003340300081070303, 'l2_clipping_bound': 0.6769312211212536, 'z': 4.150920580080255, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}, 0.17495730213783842, 0.7644859813084112)
({'epochs': 2, 'lot_size': 80, 'lr': 0.002351540399347091, 'l2_clipping_bound': 1.571942684011525, 'z': 7.868943856313684, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}, 0.09015317887235264, 0.7551401869158878)
({'epochs': 3, 'lot_size': 93, 'lr': 0.006083035656892303, 'l2_clipping_bound': 1.592083322249738, 'z': 1.0391793771508868, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}, 1.379750889919971, 0.8336448598130841)
({'epochs': 3, 'lot_size': 51, 'lr': 0.0019334461781398116, 'l2_clipping_bound': 0.11813807381127257, 'z': 3.6636978592640363, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}, 0.19174320597821404, 0.7538940809968847)
({'epochs': 3, 'lot_size': 54, 'lr': 0.003725103470493535, 'l2_clipping_bound': 1.294034058279713, 'z': 3.9396767330497773, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}, 0.18293943260224904, 0.8043613707165109)
({'epochs': 3, 'lot_size': 58, 'lr': 0.0015464233115958645, 'l2_clipping_bound': 1.9620608423290127, 'z': 1.2019915443693718, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}, 0.9185018694133648, 0.8242990654205608)
