{'epochs': 3, 'lot_size': 78, 'lr': 0.0015151431215196113, 'l2_clipping_bound': 1.7354763139632972, 'z': 2.655940687147833, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 3, 'lot_size': 67, 'lr': 0.009367496479523164, 'l2_clipping_bound': 0.3412037030846809, 'z': 7.654709893821869, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 3, 'lot_size': 66, 'lr': 0.006045883511402104, 'l2_clipping_bound': 1.6067529150634434, 'z': 3.9884768522216176, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 3, 'lot_size': 63, 'lr': 0.0097181822907163, 'l2_clipping_bound': 0.8707818593404744, 'z': 4.696601331237257, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 3, 'lot_size': 45, 'lr': 0.0016161051239312746, 'l2_clipping_bound': 1.3988711940230605, 'z': 2.7606929241034663, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 3, 'lot_size': 55, 'lr': 0.003340300081070303, 'l2_clipping_bound': 0.6769312211212536, 'z': 4.150920580080255, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 2, 'lot_size': 80, 'lr': 0.002351540399347091, 'l2_clipping_bound': 1.571942684011525, 'z': 7.868943856313684, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 3, 'lot_size': 93, 'lr': 0.006083035656892303, 'l2_clipping_bound': 1.592083322249738, 'z': 1.0391793771508868, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 3, 'lot_size': 51, 'lr': 0.0019334461781398116, 'l2_clipping_bound': 0.11813807381127257, 'z': 3.6636978592640363, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 3, 'lot_size': 54, 'lr': 0.003725103470493535, 'l2_clipping_bound': 1.294034058279713, 'z': 3.9396767330497773, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 3, 'lot_size': 58, 'lr': 0.0015464233115958645, 'l2_clipping_bound': 1.9620608423290127, 'z': 1.2019915443693718, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 3, 'lot_size': 52, 'lr': 0.00809656931466882, 'l2_clipping_bound': 0.9209711171203266, 'z': 4.8127421499761365, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
{'epochs': 2, 'lot_size': 60, 'lr': 0.0013285417735357534, 'l2_clipping_bound': 1.6090148083836808, 'z': 5.080659420465094, 'fixed_delta': 1e-05, 'beta_1': 0.9, 'beta_2': 0.999}
